ISIN,SEDOL,Share Class,Currency,Date,Price,Price Change,Price Change(%),OCF,Domicile
IE00BPT2BD14,BPT2BD1,Global Small-Cap Index Fund Institutional Plus GBP Acc,GBP,2023-05-05,213.6914,2.8194999999999766,1.34,0.2399999999999999911182158029987476766109466552734375,Ireland
IE00BPT2BC07,BPT2BC0,Global Small-Cap Index Fund Institutional Plus GBP Dist,GBP,2023-05-05,187.5459,2.474599999999981,1.34,0.2399999999999999911182158029987476766109466552734375,Ireland
IE00BGCC4V47,BGCC4V4,Global Small-Cap Index Fund Institutional Plus USD Shares,USD,2018-09-13,141.9079,0.09694500000000517,0.07,0.299999999999999988897769753748434595763683319091796875,Ireland
IE00BGCC4817,BGCC481,Global Small-Cap Index Fund Investor USD Shares,USD,2020-06-19,127.7019,-0.537700000000001,-0.42,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00B42LF923,B42LF92,Global Small-Cap Index Fund USD Acc,USD,2023-05-05,309.2474,5.16840000000002,1.70,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00B03HD191,B03HD19,Global Stock Index Fund EUR Acc,EUR,2023-05-05,36.3316,0.5364000000000004,1.50,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00B03HD316,B03HD31,Global Stock Index Fund EUR Hedged Acc,EUR,2023-05-05,26.3400,0.3954999999999984,1.52,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00B03HCZ61,B03HCZ6,Global Stock Index Fund EUR Investor Shares,EUR,2023-05-05,35.8286,0.5290000000000035,1.50,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BFPM9N11,BFPM9N1,Global Stock Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,257.2403,3.7983999999999867,1.50,0.11000000000000000055511151231257827021181583404541015625,Ireland
IE00BYVQ3L68,BYVQ3L6,Global Stock Index Fund Institutional Plus GBP Acc,GBP,2023-05-05,158.3910,1.8656000000000006,1.19,0.11000000000000000055511151231257827021181583404541015625,Ireland
IE00BFPM9M04,BFPM9M0,Global Stock Index Fund Institutional Plus USD Acc,USD,2023-05-05,206.1271,3.1544000000000096,1.55,0.11000000000000000055511151231257827021181583404541015625,Ireland
IE00BYVQ3K51,BYVQ3K5,Global Stock Index Fund Institutional Plus USD Dist,USD,2023-05-05,150.5695,2.3042000000000087,1.55,0.11000000000000000055511151231257827021181583404541015625,Ireland
