Umbrella_Name,Fund_Name,Fund_Class,Valuation_Date,BASECurrency,QUOTCurrency,NAV_per_unit,Previous_NAV_per_unit,Change_in_NAV_per_unit,Change_Percent_in_NAV_per_unit,Client_Offer_Price,Client_Offer_Percentage,Income_Aktien,Total_NAV_per_Class_Base_Ccy,Total_Net_Assets_per_Class_MIL,Units_In_Issue,DIV_Flag,Cutas,FT,ISIN,BloombergTicker,VN,FMSedols,ISESedols,EuroClearCedel,Bundesamt,Sicovam,AFCCodes,WKN,Annualised_1_Day_Yield,clio_fund_id,Distribution_rate_per_share,Accum_Deemed_Distrib,Cap_Per_Unit,Inc_Per_Unit,Fund_Title,IFAST_account_number,IFAST_account_class,Income_Zwish,Unrounded_Quotations_NAV,Unrounded_Base_NAV,Exchange_Rate,ExpenseRatio,DividendtoMonthMethod,FundType,AccrualDate,MillRate,DailyDividend,DividendMonthtodate,DayYield1,DayYield7,DayYield30,MCH_account_number,MCH_account_class,Income_IG,Total_NAV_Per_Fund,AG2,TIS,TID,CUSIP,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,A2 Class Income Units,05/05/2023,USD,USD,8.44,8.32,.12,1.44,,,.00,77568.54,.08,9185.618,,,,IE00BD5DGX97,PRGPA2U ID,,,BD5DGX9,,,,,A2P1D0,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.444564,8.444564,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD I Class Income (Quarterly Gross) ,05/05/2023,USD,USD,7.47,7.36,.11,1.49,,,.00,486277.02,.49,65104.594,,,,IE000VMQX5X1,PRGPSIU ID,,,BMH43M1,,,,,A3CZKZ,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.469166,7.469166,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,A2 Class Income Plus (Quarterly) Units,05/05/2023,USD,USD,7.42,7.32,.10,1.37,,,.00,3429493.15,3.43,462034.714,,,,IE000P6RNBT2,PRGPSAU ID,,,BMH43N2,,,,,A3C8LX,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.422588,7.422588,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD D2 Income Plus (Gross) Units,05/05/2023,USD,USD,8.46,8.34,.12,1.44,,,.00,878.25,.00,103.779,,,,IE000ZGU83A8,PIFFKGD ID,,,BPNZVR0,,,,,A3DGK9,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.462695,8.462695,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,GBP Hedged I Class Accumulation,05/05/2023,USD,GBP,10.48,10.33,.15,1.45,,,.00,456416.89,.46,34531.724,,,,IE00B1W57T75,PIFGPSG ID,3071285,,B1W57T7,,,,,A0MQL6,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,PGPS,GS,.0000,10.476219,13.217321,.792613,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,EUR Hedged I Class Accumulation,05/05/2023,USD,EUR,8.63,8.51,.12,1.41,,,.00,64468151.11,64.47,6784718.473,,,,IE00B1W57R51,PIFGPSE ID,3071330,,B1W57R5,,,,,A0MQL5,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,PGPS,ES,.0000,8.633220,9.501964,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,EUR Hedged A Accumulation,05/05/2023,USD,EUR,8.49,8.37,.12,1.43,,,.00,464637.14,.46,49751.867,,,,IE00B1W57Q45,PIFGPVE ID,,,B1W57Q4,,,,,A0MQL8,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.485236,9.339090,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,JPY Hedged I Class Income,05/05/2023,USD,JPY,1143.66,1127.85,15.81,1.40,,,.00,9598775.60,9.60,1132175.585,,,,IE00BWFDNY20,PIGJHII ID,,,BWFDNY2,,,,,A14Z05,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,1143.662386,8.478169,134.894979,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,EURO HEDGED N CLASS ACC,05/05/2023,USD,EUR,8.25,8.13,.12,1.48,,,.00,69852.35,.07,7696.573,,,,IE00BD0G6333,PRGPNEH ID,,,BD0G633,,,,,A2PXJX,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,8.245994,9.075773,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,HKD D2 Class Income Units,05/05/2023,USD,HKD,7.93,7.82,.11,1.41,,,.00,201689.62,.20,199573.622,,,,IE00BD5DHD66,PRGPSD2 ID,,,BD5DHD6,,,,,A2PXJ3,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.930705,1.010603,7.847501,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
